COLUMNS:
Time, 
Rjoint_cyl1:r:z:rad, 
Ujoint_z1:r:z:rad, 
Ujoint_y1:r:y:rad, 
Sjoint_z1:r:z:rad, 
Sjoint_y1:r:y:rad, 
Sjoint_x1:r:x:rad, 
Rjoint_cyl2:r:z:rad, 
Ujoint_z2:r:z:rad, 
Ujoint_y2:r:y:rad, 
Rjoint_cyl3:r:z:rad, 
Ujoint_z3:r:z:rad, 
Ujoint_y3:r:y:rad, 
Rjoint_cyl4:r:z:rad, 
Ujoint_z4:r:z:rad, 
Ujoint_y4:r:y:rad, 
Rjoint_cyl5:r:z:rad, 
Ujoint_z5:r:z:rad, 
Ujoint_y5:r:y:rad, 
Rjoint_cyl6:r:z:rad, 
Ujoint_z6:r:z:rad, 
Ujoint_y6:r:y:rad, 
DATA:
3.8, 1.37613, -1.77855, -0.130729, 1.7209, -0.945134, 0.190667, 1.43478, -1.84074, 0.131947, 1.37449, -1.77921, -0.13248, 1.2855, -1.67492, 0.129674, 1.19514, -1.56787, -0.13355, 1.2332, -1.61041, 0.129324
3.85, 1.37065, -1.77263, -0.130695, 1.72781, -0.946083, 0.182317, 1.43291, -1.83886, 0.131939, 1.37963, -1.78494, -0.132662, 1.29147, -1.68174, 0.129506, 1.1954, -1.56808, -0.133463, 1.22912, -1.60543, 0.12944
3.9, 1.36503, -1.76653, -0.130667, 1.73488, -0.947035, 0.174032, 1.43074, -1.83667, 0.131924, 1.38463, -1.79047, -0.13283, 1.2975, -1.68862, 0.129356, 1.19597, -1.56865, -0.133354, 1.22524, -1.60071, 0.129574
3.95, 1.35931, -1.76029, -0.130645, 1.74208, -0.947989, 0.165831, 1.42828, -1.83417, 0.131903, 1.38949, -1.7958, -0.132983, 1.30359, -1.69553, 0.129224, 1.19684, -1.56959, -0.133224, 1.22156, -1.59626, 0.129725
4, 1.35348, -1.7539, -0.13063, 1.7494, -0.94894, 0.157735, 1.42552, -1.83136, 0.131875, 1.3942, -1.80091, -0.133118, 1.3097, -1.70246, 0.129114, 1.19801, -1.5709, -0.133075, 1.21811, -1.5921, 0.129892
4.05, 1.34757, -1.74738, -0.130621, 1.75682, -0.949887, 0.149765, 1.42249, -1.82826, 0.131842, 1.39873, -1.80579, -0.133236, 1.31583, -1.70939, 0.129025, 1.19948, -1.57257, -0.132908, 1.21488, -1.58822, 0.130073
4.1, 1.3416, -1.74076, -0.130619, 1.76431, -0.950826, 0.141939, 1.41919, -1.82486, 0.131803, 1.40308, -1.81043, -0.133334, 1.32196, -1.7163, 0.128958, 1.20124, -1.57459, -0.132725, 1.21188, -1.58466, 0.130266
4.15, 1.33558, -1.73404, -0.130623, 1.77185, -0.951754, 0.134277, 1.41563, -1.82118, 0.131759, 1.40723, -1.81482, -0.133411, 1.32808, -1.72318, 0.128915, 1.20329, -1.57696, -0.132527, 1.20913, -1.58141, 0.130469
4.2, 1.32952, -1.72725, -0.130634, 1.77943, -0.95267, 0.126799, 1.41182, -1.81723, 0.13171, 1.41118, -1.81894, -0.133467, 1.33417, -1.73002, 0.128895, 1.20562, -1.57967, -0.132317, 1.20663, -1.5785, 0.13068
4.25, 1.32344, -1.72039, -0.130652, 1.78703, -0.953571, 0.119523, 1.40778, -1.813, 0.131657, 1.41491, -1.82279, -0.133501, 1.34021, -1.73678, 0.128899, 1.20823, -1.58272, -0.132096, 1.20439, -1.57592, 0.130897
4.3, 1.31735, -1.71349, -0.130676, 1.79462, -0.954455, 0.112467, 1.4035, -1.80852, 0.1316, 1.4184, -1.82637, -0.133513, 1.34619, -1.74347, 0.128928, 1.21111, -1.58609, -0.131868, 1.20241, -1.57368, 0.131118
4.35, 1.31127, -1.70655, -0.130706, 1.80218, -0.95532, 0.10565, 1.39901, -1.80378, 0.13154, 1.42166, -1.82965, -0.133503, 1.35209, -1.75005, 0.128979, 1.21425, -1.58978, -0.131633, 1.20071, -1.5718, 0.131341
4.4, 1.30523, -1.69961, -0.130741, 1.8097, -0.956166, 0.0990881, 1.39433, -1.79881, 0.131478, 1.42467, -1.83264, -0.133471, 1.3579, -1.75652, 0.129054, 1.21764, -1.59377, -0.131396, 1.19928, -1.57027, 0.131563
4.45, 1.29922, -1.69268, -0.130782, 1.81716, -0.95699, 0.0927985, 1.38945, -1.79361, 0.131413, 1.42741, -1.83533, -0.133417, 1.3636, -1.76287, 0.129151, 1.22128, -1.59806, -0.131157, 1.19814, -1.56911, 0.131783
4.5, 1.29326, -1.68577, -0.130829, 1.82454, -0.957791, 0.0867968, 1.3844, -1.78819, 0.131347, 1.42988, -1.83771, -0.133341, 1.36918, -1.76906, 0.129269, 1.22515, -1.60262, -0.130919, 1.19728, -1.56832, 0.131997
4.55, 1.28738, -1.6789, -0.130879, 1.83182, -0.958568, 0.0810983, 1.37918, -1.78257, 0.131281, 1.43207, -1.83977, -0.133245, 1.37462, -1.7751, 0.129407, 1.22924, -1.60746, -0.130685, 1.19672, -1.5679, 0.132204
